"","Name.ID","Name.Alias.es.","Vent.Sites","Activity","Maximum.Temperature","Max.Temperature.Category","Latitude","Longitude","Ocean","Region","National.Jurisdiction","Maximum.or.Single.Reported.Depth","Minimum.Depth","Tectonic.setting","Full.Spreading.Rate..mm.a.","Notes.on.Vent.Field.Description","Notes.Relevant.to.Biology","Year.and.How.Discovered..if.active..visual.confirmation.is.listed.first.","Discovery.References..text.","Other.References..text."
"1","Aden New Century Mountains","","","active, inferred",NA,"",12.0833,45.6667,"Indian","Aden Ridge","Yemen",800,600,"mid-ocean ridge",20.8,"oceanic rift (early opening); note: Tadjoura Rift is western extension of Aden Ridge; R/V Hakuho-maru CTD and GAMOS; Gamo et al. (2001): ""We searched for hydrothermal plumes along spreading axes in the Gulf of Aden, between 45\deg36'E and 52\deg42'E, using a CTD multi-water sampling system, mapping water column distributions of light transmission and chemical tracers (Mn, Fe, CH4 etc.) in December 2000 and January 2001.""; Tamaki et al. (2001): ""In the easternmost part of Tadjoura Rift at 45 deg 35 min E we observed shallow peaked twin mountains (Aden New Century Mountains) along the central axis of the rift with the summit depth of 500m. ""","","2000-2001 plume only","(plume only) Fujimoto et al. (2001) Results of the research cruise in Gulf of Aden: Aden New Century Cruise (ANCC) by R/V Hakuho-maru. Japan Geoscience Union Abstract A5-P010, (plume only) Gamo et al. (2001) Geochemical Evidence for Submarine Hydrothermal Activity in the Gulf of Aden, Northwestern Indian Ocean. American Geophysical Union, Fall Meeting 2001, abstract #OS41A-0449.","Tamaki et al. (2001) Hotspot-ridge interaction in the Gulf of Aden, East Africa. American Geophysical Union, Fall Meeting 2001, abstract #T31D-13."
"2","Aden","","","active, confirmed",NA,"Low",11.95,43.6667,"Indian","Aden Ridge","Djibouti",1600,1400,"mid-ocean ridge",19.1,"oceanic rift (early opening); widespread low temperature venting; Choukroune et al. (1988): ""...the sites of recent volcanism, tectonics and hydrothermal activity within the axial part of the Gulf of Tadjoura coincide with topographic highs trending at a high angle (azimuth 135°) with respect to the average trend of the axial trough of the Gulf (azimuth 080°).""; note: Tadjoura Rift is western extension of Aden Ridge","shrimps, actinians, galatheid crabs; Juniper et al. (1990): ""The shrimp appeared to be suspension-feeding with the posterior abdomen attached to the basalt substratum and the thoracic appendages held in the overlying water.""","1984 submersible Cyana","[Choukroune et al. (1986) Tectonics of the westernmost Gulf of Aden and the Gulf of Tadjoura from submersible observations. Nature 319: 396-399, doi:10.1038/319396a0, Choukroune et al. (1988) Tectonics of an incipient oceanic rift. Marine Geophysical Researches 9: 147-163, DOI 10.1007/BF00369246.]","[(might have different lat/lon) Cann et al., A hydrothermal deposit from the floor of the Gulf of Aden. Mineralogical Magazine, 41, 193-199, 1977], Juniper et al. (1990) Regional-scale features of Northeast Pacific, East Pacific Rise, and Gulf of Aden vent communities. In: McMurray, ed., Gorda Ridge: a seafloor spreading center in the United States Exclusive Economic Zone. Springer, NY: 265-278."
"3","Palinuro","PS, Palinuro Seamount","","active, confirmed",54,"",39.55,14.7,"Mediterranean","Aeolian Arc, Tyrrhenian Sea","Italy",1000,70,"arc volcano",NA,"several deposits of pyrite-barite, Cu sulfides in sediments from summit calderas of submerged volcano; Eckhardt et al. (1997): ""A TV profile on Palinuro showed the occurrence of yellow (Fe oxyhydroxide or nontronite), black (Mn oxide), and white (sulfate) halos in the sediment and opaqueness in the overlying water.""; Petersen et al. (2008): ""TV-guided grab sampling at Palinuro retrieved warm (Tmax = 60 C) native sulphur cemented sediments indicating that hydrothermal activity is ongoing in the study area.""; Walker et al. (2011): ""An ORP anomaly of -160 mv was located at the west end of Palinuro where vent fluids up to 54 C were found. Living tubeworms, bacterial mats of various colors and textures, and small chimneys and globular spires coated with iron oxide having bright-green interiors indicative of the iron-rich hydrothermal clay nontronite were found at actively venting areas on Palinuro.""; Carey et al. (2012): ""tubeworms (siboglinidae) in the vicinity of ... (54 C) venting on the western end of Palinuro Seamount"", ""On Palinuro’s eastern end, there was also evidence of low-temperature hydrothermal venting from spires up to 30 cm in height. ... The discovery of active venting at each summit along most of Palinuro’s 50 km length...""","siboglinid tubeworms at low temperature vent site (630-650 m depth)","2006 ROV Cherokee; 1968 manganese crust only; 1984 deposits only; 1993 TV profile did not confirm","(ROV Cherokee) Petersen et al. (2008) Drilling submarine hydrothermal systems in the Tyrrhenian Sea, Italy. InterRidge News 17: 21-23., (manganese crust only) KIDD and H. ARMANNSON (1979) Manganese and iron micronodules from a volcanic seamount in the Tyrrhenian Sea. Journal of the Geological Society of London, 136, 71-76., (deposits only) Minniti, M. and F. Bonavia (1984) Copper-ore grade hydrothermal mineralization discovered in a seamount in the Tyrrhenian Sea (Mediterranean): Is the mineralization related to porphyry-coppers or to base metal lodes? Marine Geology 59: 271-282., (TV profile) ECKHARDT et al. (1997) Hydrothermal manganese crusts from Enarete and Palinuro Seamounts in the Tyrrhenian Sea. Marine georesources & geotechnology 15: 175-208.","Tufar (1991) Paragenesis of complex massive sulfide ores from the Tyrrhenian Sea. Mitteilungen der Österreichischen Geologischen Gesellschaft 84: 265-300, Dando et al. (1999) Hydrothermalism in the Mediterranean Sea. Progr. Oceanogr. 44: 333-367, Dekov, V. M. and C. Savelli (2004) Hydrothermal activity in the SE Tyrrhenian Sea: an overview of 30 years of research. Marine Geology 204: 161-185, doi:10.1016/S0025-3227(03)00355-4, Monecke et al. (2009) Shallow submarine hydrothermal systems in the Aeolian Volcanic Arc, Italy. Eos 90: 110-111., Lupton, J. et al. (2011) Active hydrothermal discharge on the submarine Aeolian Arc. JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 116, B02102, 22 PP., doi:10.1029/2010JB007738., Carey, S.N., et al. (2012) Submarine Volcanoes of the Aeolian Arc, Tyrrhenian Sea. Oceanography, 25(1), Suppl. 32-33., Walker, S. et al. (2011) Near-bottom water column anomalies associated with active hydrothermal venting at Aeolian arc volcanoes, Tyrrhenian Sea, Italy. AGU Fall Meeting, abstract OS51D-1906."
"4","Stromboli","","","active, inferred",NA,"",38.789,15.213,"Mediterranean","Aeolian Arc, Tyrrhenian Sea","Italy",250,NA,"arc volcano",NA,"Heinicke et al. (2009): ""continuous monitoring carried out between 2006 and 2007, coupled with the VLP seismicity recorded at the nearby Stromboli Island, and the helium isotopes recorded at both the islands, provide the indication that the modifications at the submarine venting fluids off Panarea are related to the seismic activity of Stromboli, thereby indicating that a common degassing source, probably made of magma intrusions along the N40°E fault, affects both volcanoes""; Carey et al. (2012): ""small seamount south of Stromboli. … Previous dredging of Casoni Seamount recovered volcanic samples that were warm. No hydrothermal venting was discovered at Casoni...""","","1969 Fe crusts only","(deposits only) BONATTI et al. (1972) Submarine iron deposits from the Mediterranean Sea. In: The Mediterranean Sea: a natural sedimentation laboratory, D. J. STANLEY, editor, Dowden, Hutchinson & Ross, Inc., Stroudsberg, Penn., pp. 701-710.","Kokelaar, P. and Romagnoli, C., 1995. Sector collapse, sedimentation and clast population evolution at an active island-arc volcano: Stromboli, Italy. Bulletin of Volcanology 57, pp. 240–262, DOI: 10.1007/BF00265424, Dando et al. (1999) Hydrothermalism in the Mediterranean Sea. Progr. Oceanogr. 44: 333-367, Dekov, V. M. and C. Savelli (2004) Hydrothermal activity in the SE Tyrrhenian Sea: an overview of 30 years of research. Marine Geology 204: 161-185, doi:10.1016/S0025-3227(03)00355-4, Di Roberto, A, et al., 2008. Newly discovered submarine flank eruption at Stromboli volcano (Aeolian Islands, Italy). Geophys Res Lett, 35: L16310, doi:10.1029/2008GL034824., Heinicke, J., F. Italiano, R. Maugeri, B. Merkel, T. Pohl, M. Schipek, and T. Braun (2009), Evidence of tectonic control on active arc volcanism: The Panarea-Stromboli tectonic link inferred by submarine hydrothermal vents monitoring (Aeolian arc, Italy), Geophys. Res. Lett., 36, L04301, doi:10.1029/2008GL036664., Carey, S.N., et al. (2012) Submarine Volcanoes of the Aeolian Arc, Tyrrhenian Sea. Oceanography, 25(1), Suppl. 32-33."
"5","Sisifo","","","active, inferred",NA,"",38.7833,13.8666,"Mediterranean","Aeolian Arc, Tyrrhenian Sea","Italy",1200,NA,"arc volcano",NA,"Lupton et al. (2011): ""Of the seven bottles sampled, only a single bottle had a clear excess in 3He, and this was a fairly weak signal about 3% above the V07B-12 background in δ3He units (Figure 11). However, the along-axis tow over Sisifo (T07B-13) did detect a weak particle anomaly over the southeastern section of the seamount, where no discrete samples were collected (Figure 11a). Thus it is possible that some hydrothermal activity may have gone undetected in this portion of the seamount.""","","2007 plume only","(plume only) Lupton, J. et al. (2011) Active hydrothermal discharge on the submarine Aeolian Arc. JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 116, B02102, 22 PP., doi:10.1029/2010JB007738.",""
"6","Panarea","Panarea volcanic complex, Basiluzzo area","Smoking Land, Black Point, Hot Lake, La Calcara","active, confirmed",135,"",38.6583,15.1,"Mediterranean","Aeolian Arc, Tyrrhenian Sea","Italy",200,7,"arc volcano",NA,"vents to the E-NE of Panarea Island towards Basiluzzo islet; Basiluzzo area is reported in Gamberi et al. 1997; 1m high Fe-oxide rich chimneys on submerged slopes of volcano; Smithsonian Global Volcanism Program profile 211041, accessed 1 June 2015: ""Vigorous hydrothermal activity has continued at fumarolic fields at several locations on the submerged platform, and submarine hydrothermal explosions have occurred in historical time.""; 53°C at shallow vents at Panarea Island (Italiano and Nuccio 1991); only a subset of vent sites names are listed: Black Point, Hot Lake, and La Calcara and are provided in Price et al. 2015, Smoking Land, 70-80m depth is provided in Esposito et al. 2018; position in given to Smoking Land vent site;","see Acunto et al. (1995)","1800's shallow vents; 1995 deeper vents ROV Comex","References from the 1800's in: Italiano, F. and Nuccio, P.M., 1991. Geochemical investigations of submarine volcanic exhalations to the east of Panarea, Aeolian Islands, Italy. Journal of Volcanology and Geothermal Research 46, pp. 125–141, doi:10.1016/0377-0273(91)90079-F, Gamberi F., Marani M., Savelli S. (1997) Tectonic, volcanic and hydrothermal features of a submarine portions of the Aeolian Arc, Marine Geology, 140, 167-181;, Marani et al., 1997, Shallow-water polymetallic sulfide deposits in the Aeolian island arc, Geology 25 (1997), pp. 815–818;","Acunto, S., Maltagliati, F., Cinelli, F., 1995. Osservazioni sui popolamenti bentonici di un’area interessata da attivita idrotermale nei pressi dell’Isola di Panarea (Isole Eolie). Biol. Mar. Mediterr. 3, 434–436;, Dando et al. (1999) Hydrothermalism in the Mediterranean Sea. Progr. Oceanogr. 44: 333-367;, Dekov, V. M. and C. Savelli (2004) Hydrothermal activity in the SE Tyrrhenian Sea: an overview of 30 years of research. Marine Geology 204: 161-185, doi:10.1016/S0025-3227(03)00355-4;, Gugliandolo, C. et al. (2006) The submarine hydrothermal system of Panarea (Southern Italy): biogeochemical processes at the thermal fluids-sea bottom interface. ANNALS OF GEOPHYSICS, VOL. 49, N. 2/3, 783-792;, Petersen et al. (2008) Drilling submarine hydrothermal systems in the Tyrrhenian Sea, Italy. InterRidge News 17: 21-23;, Monecke et al. (2009) Shallow submarine hydrothermal systems in the Aeolian Volcanic Arc, Italy. Eos 90: 110-111;, Merkel et al. (2009) White smoker at 20 m water depth at Panarea´s submarine volcano, Aeolian island, Italy. Goldschmidt Conference Abstracts 2009;, Amend et al. (2009) Archaea, Bacteria, and Sulfur-Cycling in a Shallow-Sea Hydrothermal Ecosystem. AGU Fall Meeting ID# B21D-05;, Price RE, LaRowe D, Italiano F, Ivan S, Pichler T, Amend J. (2015) Subsurface hydrothermal processes and the bioenergetics of chemolithoautotrophy at the shallow-sea vents off Panarea Island (Italy). Chem Geol.; 407: 21–45. http://dx.doi.org/10.1016/j.chemgeo.2015.04.011;, Esposito V, Andaloro F, Canese S, Bortoluzzi G, Bo M, Di Bella M, et al. (2018) Exceptional discovery of a shallow-water hydrothermal site in the SW area of Basiluzzo islet (Aeolian archipelago, South Tyrrhenian Sea): An environment to preserve. PLoS ONE 13(1): e0190710. https://doi.org/10.1371/journal.pone.0190710;"
"7","Secca del Capo","","","active, inferred",NA,"",38.6333,14.85,"Mediterranean","Aeolian Arc, Tyrrhenian Sea","Italy",240,NA,"arc volcano",NA,"offshore area north of Salina; Gamberi et al. (1997): ""In the western high, large areas of the seafloor are extensively covered by mounds of Fe-rich, semiconsolidated crusts ... The presence of these deposits on the seafloor implies that the Secca de1 Capo region has been affected by hydrothermalism in the recent past.""; Lupton et al. (2011): ""found a small 3He excess at about 200 m depth""","","1995 ROV Comex deposits only; 2007 plume only","(deposits only) Gamberi, F. et al. (1997) Tectonic, volcanic and hydrothermal features of a submarine portion of the Aeolian arc (Tyrrhenian Sea). Marine Geology 140: 167-181., (plume only) Lupton, J. et al. (2011) Active hydrothermal discharge on the submarine Aeolian Arc. JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 116, B02102, 22 PP., doi:10.1029/2010JB007738.",""
"8","Enarete Seamount","Enareta, Enarato","","active, confirmed",NA,"Low",38.625,14,"Mediterranean","Aeolian Arc, Tyrrhenian Sea","Italy",600,NA,"arc volcano",NA,"Eckhardt et al. (1997): ""Our data support the idea that the Mn deposits formed as a result of submarine hydrothermal activity associated with subduction-related processes""; Walker et al. (2011): ""At Enarete volcano, we found venting fluids with temperatures up to 5 C above ambient as well as small, fragile iron-oxide chimneys. The most intense ORP anomaly (-140 mv) occurred at a depth of about 495 m on the southeast side of the volcano, with smaller anomalies (-10 to -20 mv) more common as the ROV moved upslope to the summit.""; Carey et al. (2012): ""In some areas at the summit, fluids with temperatures up to 5 C above the ambient seawater were actively discharging. Bacteria were common in these areas, and small (a few tens of centimeters in height), fragile chimneys composed of iron oxides dotted the seafloor""","Nautilus Live video, accessed 24 April 2015, http://www.nautiluslive.org/video/2011/09/16/enarete-volcano-tubeworms-dive-highlight","2011 ROV Hercules; 1976 Fe crusts only; 1997 manganese crust only; 2007 plume only","(manganese crust only) ECKHARDT et al. (1997) Hydrothermal manganese crusts from Enarete and Palinuro Seamounts in the Tyrrhenian Sea. Marine georesources & geotechnology 15: 175-208., (plume only) Lupton, J. et al. (2008) Submarine Hydrothermal Activity on the Aeolian Arc: New Evidence from Helium Isotopes. Eos Trans. AGU, 89(53), Fall Meet. Suppl., Abstract V11A-2001., Carey, S.N., et al. (2012) Submarine Volcanoes of the Aeolian Arc, Tyrrhenian Sea. Oceanography, 25(1), Suppl. 32-33.","Dando et al. (1999) Hydrothermalism in the Mediterranean Sea. Progr. Oceanogr. 44: 333-367, Dekov, V. M. and C. Savelli (2004) Hydrothermal activity in the SE Tyrrhenian Sea: an overview of 30 years of research. Marine Geology 204: 161-185, doi:10.1016/S0025-3227(03)00355-4., Walker, S. et al. (2011) Near-bottom water column anomalies associated with active hydrothermal venting at Aeolian arc volcanoes, Tyrrhenian Sea, Italy. AGU Fall Meeting, abstract OS51D-1906."
"9","Eolo Seamount","Eolio, Eolo Volcano","","active, inferred",NA,"",38.58,14.1667,"Mediterranean","Aeolian Arc, Tyrrhenian Sea","Italy",800,NA,"arc volcano",NA,"Walker et al. (2011): ""ORP anomalies (-1 to -22 mv) were measured at several locations, primarily along the walls of the crescent-shaped collapse area (or possible caldera) east of the Eolo summit.""; Carey et al. (2012): ""we found evidence of hydrothermal venting at a number of sites""","Carey et al. (2012): ""small patches (tens of centimeters across) of bright yellow-orange bacteria colonizing fractures in volcanic rock outcrops. In one locale, we encountered a small group of living tubeworms around a small outcrop of manganese-encrusted rocks""; 2011 ROV Little Hercules: http://www.nautiluslive.org/video/2011/09/15/eolo-volcano-tubeworms-dive-highlights; ","1976 Fe crusts only; 2007 plume only; 2011 ROV Hercules but can not confirm based on Carey et al. (2012)","(plume only) Lupton, J. et al. (2008) Submarine Hydrothermal Activity on the Aeolian Arc: New Evidence from Helium Isotopes. Eos Trans. AGU, 89(53), Fall Meet. Suppl., Abstract V11A-2001.","Dando et al. (1999) Hydrothermalism in the Mediterranean Sea. Progr. Oceanogr. 44: 333-367, Dekov, V. M. and C. Savelli (2004) Hydrothermal activity in the SE Tyrrhenian Sea: an overview of 30 years of research. Marine Geology 204: 161-185, doi:10.1016/S0025-3227(03)00355-4., Walker, S. et al. (2011) Near-bottom water column anomalies associated with active hydrothermal venting at Aeolian arc volcanoes, Tyrrhenian Sea, Italy. AGU Fall Meeting, abstract OS51D-1906., Carey, S.N., et al. (2012) Submarine Volcanoes of the Aeolian Arc, Tyrrhenian Sea. Oceanography, 25(1), Suppl. 32-33."
"10","Vulcano","Vulcano Island","Baia di Levante (= Porto di Levante)","active, confirmed",NA,"Low",38.4,15,"Mediterranean","Aeolian Arc, Tyrrhenian Sea","Italy",8,0,"arc volcano",NA,"Vulcano stratovolcano; hydrothermal discharge on shores of volcanic island with precipitation of Fe & Mn oxides, silica, anhydrite, gypsum and pyrite within volcaniclastic sediments; Sedwick and Stueben (1996): ""These fluids are interpreted as a mixture of seawater and low-salinity groundwater which has undergone high-temperature (> 100 °C) hydrothermal alteration, followed by mixing with cool seawater in the sub-seafloor and during venting.""","Stetter (1982) discovery of hyperthermophilic life at greater than 100 C","1960's shallow vents","[Honnorez (1969) La formation actuelle d'un gisement sous-marin de sulphides fumerolliens a Vulcano (Mer Tyrrhenienne), Partie I. Les Mineraux sulfures des tufs immerges a faible profondeur. Miner. Deposita, 4: 114-131.]","Stetter, K.O., 1982. Ultrathin mycelia-foming organisms from submarine volcanic areas having an optimum growth temperature of 105°C. Nature, London 300: 258-260., Sedwick, P. and Stüben, D., 1996. Chemistry of shallow submarine warm springs in an arc-volcanic setting: Vulcano Island, Aeolian Archipelago, Italy. Marine Chemistry 53, pp. 147–161, doi:10.1016/0304-4203(96)00020-5., Dando et al. (1999) Hydrothermalism in the Mediterranean Sea. Progr. Oceanogr. 44: 333-367., Dekov, V. M. and C. Savelli (2004) Hydrothermal activity in the SE Tyrrhenian Sea: an overview of 30 years of research. Marine Geology 204: 161-185., Dando, P. R.  (2010) Biological communities at marine shallow-water vent and seep sites. In: Kiel, S. (Ed.) The vent and seep biota – from microbes to ecosystems. Topics in Geobiology 33: 33-378. Springer."
